 ,en_review,yo_review,yo_mt_review,rating,sentiment
17,"I deeply appreciated seeing a movie with an emotional bond between two sisters who were connected in so many ways, but disconnected by romance and political views. The movie actors were superb and each character was perfectly cast for their roles.",Mo máa ń gbóríyìn fún fíìmù tó fi okùn ìfẹ́ tó gbópọn sáàárín àwọn ọmọbìnrin méjì tí ọ̀pọ̀lọpọ̀ nǹkan so papọ̀ ṣùgbọ́n tó jẹ́ pé ọ̀rọ̀ ìfẹ́ àti òṣèlú ló yà wọ́n sọ́tọ̀. Àwọn òṣèré tó kópa nínú eré yìí fakọyọ. Oníkálukú wọn ló kó ipa tirẹ̀ dáadáa.,"Mo dupẹ lọwọ pupọ lati rii fiimu kan pẹlu asopọ ẹdun laarin awọn arabinrin meji ti wọn sopọ ni ọpọlọpọ awọn ọna, ṣugbọn ti ge asopọ nipasẹ fifehan ati awọn iwo iṣelu. Awọn oṣere fiimu naa dara julọ ati pe ohun kikọ kọọkan ni a ṣe jade ni pipe fun awọn ipa wọn.",7,positive
18,"Beautiful production but a weak storyline

The acting was superb. Charley Boy is a delight to watch on camera. This was a wonderful effort by Kemi Adetiba and I'm really happy I got a chance to watch this.","Àgbéjáde ere yìí dára ṣùgbọ́n ìtàn rẹ̀ kò dára tó. 
Wọ́n ṣeré yìí dáadáa. Àyànfẹ́ ni Charley Boy láti wò lórí ẹ̀rọ ayàwòrán. Isẹ ńlá tí Kemi Atiba ṣe nìyí. Inú mi dùn pé mo ní ààyè láti wo ere yìí","Iṣẹjade ti o lẹwa ṣugbọn itan-akọọlẹ alailagbara

Oṣere naa dara julọ. Charley Boy jẹ igbadun lati wo lori kamẹra. Igbiyanju agbayanu ni eyi jẹ nipasẹ Kemi Adetiba, inu mi dun gaan pe mo ni aye lati wo eyi.",7,positive
19,"A Good One
Hmmm... This was a movie. A GOOD ONE and that's about it.","Èyí dára.
Hmmm... Ere àgbéléwò gidi nìyí, kò jù bẹ́ẹ̀ lọ.","Ọkan Rere
Hmmm... fiimu ni eyi. A RERE ONE ati awọn ti o ni nipa o.",7,positive
20,"Good for a first.
A fairly straightforward plot that delivers nothing new, save being the first Nigerian Christmas themed movie. The casting was sweet.","Ó dára fún ìgbà àkọ́kọ́. 
Bí ó tilẹ̀ jẹ́ pé ẹ̀hun rẹ̀ já gaara díẹ̀, kò sí nnkan tuntun nínú eré náà. Ohun ni fíìmù àgbéléwò tó dá lórí Kérésìmesì ni Nàìjíríà. Ere yìí dùn díẹ̀.","O dara fun igba akọkọ.
Idite titọ taara ti ko ṣe nkan tuntun, ayafi jijẹ fiimu akọkọ ti Keresimesi Naijiria akọkọ. Simẹnti naa dun.",7,positive
21,"Funny Christmas Comedy
This movie had me cracking up from the start.","Ere apanilẹ́rìn-ín lórí Kérésìmesì. 
Ere yìí kún fún ẹ̀rín àríntàkìtì.","""Apanilẹrin Keresimesi
Fiimu yii jẹ ki n pariwo lati ibẹrẹ. ”
""Ni akọkọ Unoriginal",7,positive
22,"Originally Unoriginal

The story has a lovely premise.
I love this movie, but as an ardent observer of Western cinema, it feels like a copy.","Ojúlówó ere tí kò dára rárá nìyí. 
 
Ìtàn yìí ní àbùdá tó dára. 
Lóòótọ́ mo fẹ́ràn ere yìí, ṣùgbọ́n gẹ́gẹ́ bí ó olólùfẹ́ sinimá ilẹ̀ òkèèrè, ère yìí dàbí èyí tí a dàkọ.","Ni akọkọ Unoriginal

Itan naa ni ipilẹ ile ẹlẹwà kan.
Mo nifẹ si fiimu yii, ṣugbọn gẹgẹbi oluwoye ti sinima ti Iwọ-oorun, o kan lara bi ẹda kan.”
",7,positive
23,"Funny

Funny and good acting. A different cool vibes.

I like how the main character is put of the ordinary and how the women stand up to the men.","Apanilẹ́rìn-ín.
 
Ó kún fún ẹ̀rín àti ere ṣíṣe gidi. 
 
Mo fẹ́ràn bí olú ẹ̀dá-ìtàn ṣe fi gbogbo ara ṣiṣẹ́ àti bí àwọn obìnrin ṣe kojú àwọn ọkùnrin.","""Apanilẹrin

Funny ati ti o dara osere. A o yatọ itura vibes.",7,positive
24,"A good sequel but a remake would have been far better for good story buildup

I must say I commend the director and his acting too ( Ramsey Nouah).","Ere ònídàákúrekú ṣùgbọ́n àtúnṣe rẹ̀ ìbá dára fún ìtàn gidi. 
 
Mo gbóríyìn fún olùdarí ere yìí (Ramsey Nouah) àti ọ̀nà ìṣeré rẹ̀","Mo fẹran bi a ṣe fi ohun kikọ akọkọ si ti arinrin ati bii awọn obinrin ṣe duro si awọn ọkunrin. ”
“Atẹle ti o dara ṣugbọn atunṣe yoo ti dara julọ fun kikọ itan ti o dara

Mo gbọdọ sọ pe Mo yìn oludari naa ati iṣe rẹ paapaa (Ramsey Nouah).""",7,positive
25,"Very funny movie

This movie is very funny.I literally laughed from the begining to the end.","Fíìmù apanilẹ́rìn-ín
 
Ere yìí kún fún ẹ̀rín. Mo kàn ń rẹ́rìn ni láti ìbẹ̀rẹ̀ dé òpin.","""Gan funny movie Eleyi movie jẹ gidigidi funny. Mo rerin gangan lati ibẹrẹ si opin.""",7,positive
26,"He said, she said","Ó ní pé, ó ní pé","O ni, o sọ",7,positive
27,It is still a MUST watch movie as it still captures the quintessence of the issue and delivers a clear message.,Àìgbọdọ̀máwò ni ere yìí. Ó kan ojú abẹ níkòó ó sì sàgbékalẹ̀ ẹ̀kọ́ tó wà nínú rẹ̀.,O tun jẹ fiimu MUST wiwo bi o ṣe n ṣe afihan idiyele ti ọrọ naa ati jiṣẹ ifiranṣẹ ti o han gbangba.,7,positive
28,OK but WAY TOO LONG,Kò burú ṣùgbọ́n ó ti pẹ́jù,O DARA sugbon ONA TO gun,7,positive
29,"Fresh POV
It is not the kind of cinema we are used to in the western hemisphere, but the production highlights not only a story to develop, but also the colors and culture of the region in which it takes place.","POV tuntun 
Kì í ṣe irú sinima ilẹ̀ òkèèrè tí a mọ̀. Kì í ṣe pé ìgbéjáde rẹ̀ sọ̀rọ̀ nípa ìtàn tí a fẹ́ gbésókè nìkan, ó tún sàfihàn àṣà agbègbè tí a ti ṣe eré náà","POV tuntun
Kii ṣe iru sinima ti a lo si ni iha iwọ-oorun, ṣugbọn iṣelọpọ ṣe afihan kii ṣe itan kan lati dagbasoke, ṣugbọn awọn awọ ati aṣa ti agbegbe ti o waye.”",7,positive
30,A BRILLIANT MOVIE WITH A FEW PECKS,FÍÌMÙ TO GBÁMÚSÉ PẸ̀LÚ ORÍYÍN DIẸ́,FÍNÌ MÍMÌNÍ PẸ̀LẸ̀ PẸ̀LẸ̀,7,positive
31,"Audiences will be pleasantly entertained with Nigerian director Kemi Adetiba's The Wedding Party, a charming, romantic comedy with a unique international flavor.","Láìsí àníàní, àwọn òǹwòran yóò gbádùn ere ""The Wedding Party"" tí Kemi Adetiba ṣe. Ere lọ́kọláya apanilẹ́rìn tó ní èròjà ilẹ̀ òkèèrè nínú.","Awọn olugbo yoo jẹ igbadun pẹlu adari Naijiria Kemi Adetiba The Wedding Party, ẹlẹwa, awada romantic pẹlu adun alailẹgbẹ agbaye.",7,positive
32,"Overall, it's a fascinating slice of modern history that may be unfamiliar to some, which can also give us an insight into the making of contemporary Nigeria.","Lákòótán, ó jẹ́ ìtàn ayé òde-òní tó fanimọ́ra ṣùgbọ́n tó sàjèjì sí àwọn mìíràn. Ere yìí fún wa ní ìmọ̀ nípa Nàìjíríà òde òní.","Lapapọ, o jẹ ege itan aye ode oni ti o fani mọra ti o le jẹ aimọ si awọn kan, eyiti o tun le fun wa ni oye si ṣiṣe ti Nigeria imusin.",7,positive
33,"A well-acted, finely wrought epic that nevertheless struggles to balance the requirements of melodrama with its drive to capture a historical moment.",Ere tí àgbékalẹ̀ rẹ dára ṣùgbọ́n tí ó tiraka láti sàfihàn àmúyẹ ere apanilẹ́rìín àti dírámà pẹ̀lú èrò láti ni ipa mọ́nigbàgbé.,"Aṣeṣe ti o dara, apọju ti a ṣe daradara ti o tiraka lati dọgbadọgba awọn ibeere ti melodrama pẹlu awakọ rẹ lati mu akoko itan kan.",7,positive
34,"These people deserve a whole fucking lot of credit for this movie. The writing is eh. Performances are eh. But so, so hard, and they did it. You have to appreciate that. Also, this is not the Nigerian movie. This is a one-shot rom-com about twenty-something white people.","Ó yẹ kí á lu àwọn ènìyàn yìí lọ́gọ ẹnu fún ere yìí. Bí ṣíṣe ere náà tilẹ̀ lágbára síbẹ̀ síbẹ̀ wọ́n ṣe é. Ó yẹ kí a gbóríyìn fún èyí. Bákan náà, kì í ṣe eré àgbéléwò Nàìjíríà nìyí. Ere olólùfẹ́ apanilẹ́rìn-ín tó ní ogún òyìnbó aláwọ̀ funfun ni fíìmù yìí.","Awọn eniyan wọnyi yẹ fun kirẹditi pupọ fun fiimu yii. Awọn kikọ jẹ eh. Awọn iṣẹ ṣiṣe jẹ eh. Ṣugbọn bẹ, lile, nwọn si ṣe. O ni lati mọriri iyẹn. Bakannaa, eyi kii ṣe fiimu Naijiria. Eleyi jẹ a ọkan-shot rom-com nipa ogun-nkankan funfun eniyan.",7,positive
35,"Nice movie

Great story line. It was worth watching. I certainly would recommend watching it.","Ere gidi.
 
Eré tí Ìtàn rẹ lágbára nìyí. Ó yẹ láti wò. Mo rọ yín láti wò ó.","Fiimu dara

Nla itan ila. O tọ lati wo. Dajudaju Emi yoo ṣeduro wiwo rẹ. ”",7,positive
36,"Cute...
I really liked this simple Nigerian... And the plot twist, it was painful to say the least... Cute...","Ó dára jù... 
Mo gba ti ere àgbéléwò Nàìjíríà yìí. Ẹ̀hun rẹ̀ tí dára jù.","O wuyi...
Mo nifẹ ọmọ orilẹ-ede Naijiria ti o rọrun gaan… Ati pe idite naa yi, o jẹ irora lati sọ ohun ti o kere julọ… Cute…”",7,positive
37,"Wow

This movie really made me change my relationship for the best. Great movie. The movie did start off slow but it definitely kept me interested. The flash backs really made the ending even more intense because everything came together.","Ó gajù
 
Fíìmù yìí ti jẹ́ kí n yí ọkàn mi padà nípa nǹkan tó dára. Ere tó fakọyọ ni. Ere yìí fà nílẹ̀ díẹ̀ ní ìbẹ̀rẹ̀ ṣùgbọ́n ó wuyì láti wò. Ìrántí àwọn abala tó ti kọjá jẹ́ kí ìparí ere náà túnbọ̀ dùn nítorí pé gbogbo nǹkan kàn ń ṣẹlẹ̀ papọ̀ ni.","Iro ohun

Fiimu yii jẹ ki n yi ibatan mi pada fun didara julọ. fiimu nla. Fiimu naa bẹrẹ ni lọra ṣugbọn o dajudaju jẹ ki n nifẹ si. Awọn ẹhin filasi naa jẹ ki ipari paapaa ni lile nitori ohun gbogbo wa papọ. ”",7,positive
38,"A great children movie

I think the Mirror Boy is a great children movie, simple in spirit, yet powerful, effective and well performed. The soundtrack is awesome, varied and rich, quite appealing and also bridging tradition and contemporary concepts","Ere tó dára púpọ̀ fún àwọn ọmọdé láti wò. 
 
Ere tó dára púpọ̀ fún àwọn ọmọdé láti wò ni Mirror Boy. Ere tó dùn tí a ṣe dáadáa tó sì kọ àwọn ọmọdé lẹ́kọ̀ọ́ ni ere yìí. Orin inú ere náà rẹwà ó sì dùn láti gbọ́.","Fiimu ọmọ nla kan

Mo ro pe Ọmọkunrin Digi jẹ fiimu ti awọn ọmọde nla, rọrun ni ẹmi, sibẹsibẹ lagbara, munadoko ati ṣiṣe daradara. Ohun orin naa jẹ oniyi, oriṣiriṣi ati ọlọrọ, iwunilori pupọ ati pe o tun ṣajọpọ aṣa ati awọn imọran ode oni”",7,positive
39,Scattershot but still packing some impacts,Àwọn ìtàn rẹ̀ tó fọ́nká padà ní ipa tó jinlẹ̀.,Scattershot ṣugbọn ṣi iṣakojọpọ diẹ ninu awọn ipa,7,positive
40,"A story that needed to be told
A good interpretaion of a troubled UK - in troubled times - Good performance by Beckinsale - stole the show","Ìtàn tó yẹ láti sọ 
Ìtúpalẹ̀ tó dára fún UK- lásìkò wàhálà 
-Ere ṣíṣe tó fakíki láti ọwọ́ Beckinsale. Gbajúgbajà ni ere yìí.","Itan kan ti o nilo lati sọ
Itumọ ti o dara ti UK ti o ni wahala - ni awọn akoko wahala - Iṣe ti o dara nipasẹ Beckinsale - ji ifihan naa ",7,positive
41,"This was one hell of a ride

I recommend this movie to anyone interested into this topic - or anyone who enjoy great movies! Go watch this movie, and hit like NOW!","Eléyìí lágbára. 
 
Màá fẹ́ kí ẹnikẹ́ni tó bá fẹ́ràn àkọlé yìí wo ere yìí, tàbí ẹnikẹ́ni tó bá fẹ́ràn fíìmù gidi.","“Eyi jẹ apaadi kan ti gigun kan

Mo ṣeduro fiimu yii si ẹnikẹni ti o nifẹ si koko yii - tabi ẹnikẹni ti o gbadun awọn fiimu nla! Lọ wo fiimu yii, ki o si lu bi NOW!""",7,positive
42,"Farming may not be the best-executed story, but with a captivating performance by Damson Idris, nevertheless, it is still a story worth telling.","Àlàyé lè má jẹ́ ọ̀nà tó dára láti sàgbékalẹ̀ ìtàn, àmọ́ sá Desmond Idris sàgbékalẹ̀ ere yìí dáadáa bẹ́ẹ̀ sì ni ó jẹ́ ìtàn àsọtúnsọ.","Ogbin le ma jẹ itan-ṣiṣe ti o dara julọ, ṣugbọn pẹlu iṣẹ iyanilẹnu nipasẹ Damson Idris, sibẹsibẹ, o tun jẹ itan ti o tọ lati sọ.",7,positive
43,"The tone of the film is also unexpectedly lyrical -- like a fairytale, albeit grimmer than Grimm. Unrelieved horror and violence can be enervating, but this film has the benefit of truth, and a message of survival.","Ohùn orin tí a kò retí rárá ni fíìmù yìí lò, àfi bí i ìtàn àròsọ. Ìtàn aṣẹ̀rùbani tó lágbára ni bẹ́ẹ̀ sì ni jàgídíjàgan pọ̀ nínú rẹ̀. Àmọ́ sá, ere sọ pàtàkì òótọ́ àti ìfaradà.","Ohun orin ti fiimu naa tun jẹ orin lairotẹlẹ lairotẹlẹ - bi itan-akọọlẹ kan, botilẹjẹpe grimmer ju Grimm lọ. Ibanujẹ ti ko ni idasilẹ ati iwa-ipa le jẹ iwuri, ṣugbọn fiimu yii ni anfani ti otitọ, ati ifiranṣẹ ti iwalaaye.",7,positive
44,"...contains memorable scenes and definitely, er, packs a punch, but it is marred by gauche directorial touches…","... òní àwọn ìran mọ́nıgbàgbé, ṣùgbọ́n ó kún fún ọ̀pọ̀lọpọ̀ kùdìẹ̀ kùdìẹ̀ tí kò fi ìdarí tó bá òde òní mú hàn.","... ni awọn iṣẹlẹ ti o ṣe iranti ati ni pato, er, ṣajọpọ punch kan, ṣugbọn o jẹ ibajẹ nipasẹ awọn ifọwọkan oludari gauche…",7,positive
45,A provocative if slightly plodding movie…,Ere to ń ru ènìyàn nínú tó sì fà nílẹ̀,Akikan ti o ba jẹ pe fiimu pilode diẹ…,7,positive
46,"Told with raw emotion and lurid violence, it transforms elements of his life story into a disturbing, eye-opening coming of age drama.","Ìtàn tí a sọ pẹ̀lú ẹ̀dùn ọkàn àti ipá, ó yí àwọn iriri ìgbé ayé rẹ padà sí ìrísí ere tó ṣẹ̀ṣẹ̀ ń dìdelẹ̀lè láti sí ènìyàn lójú",,7,positive
47,Interesting how open the characters are to speaking about their relationships and with restraining anger during such emotional circumstances.,Ó wúni lórí àwọn pẹ̀lú ọ̀nà tí àwọn osere gbà láti sọ nípa ìbásepọ̀ wọn pẹ̀lú ìbínú tí kò farahàn rárá.,O yanilenu bi awọn ohun kikọ ṣe ṣii si sisọ nipa awọn ibatan wọn ati pẹlu idinamọ ibinu lakoko iru awọn ipo ẹdun.,7,positive
48,"Love it

The movie is great. The storyline is good, Acting not bad at all
","Mo fẹ́ràn rẹ̀
 
Fíìmù yìí ga jù. Ìtàn ere náà gbayì bẹ́ẹ̀ sì ni 
ère ṣíṣe rẹ̀ kò bàjẹ́","
""Nife re

Fiimu jẹ nla. Itan itan naa dara, Ṣiṣẹ kii ṣe buburu rara
",7,positive
49,"Something new

Despite seeing its low rating - I think, Namaste Wahala definitely deserves a 1 time watch for being something new and different.","Nǹkan tuntun 
 
Pẹ̀lúpẹ̀lú u bí a kò ṣe gba ti ere yìí, mo lérò pé gbogbo wàhálà Namaste yẹ ní wíwò bí kò tilẹ̀ ju iṣẹ̀jú kan lọ fún ṣíṣe nǹkan tuntun tó yàtọ̀.","Ohun titun

Laibikita ti rii idiyele kekere rẹ - Mo ro pe, dajudaju Namaste Wahala yẹ aago akoko 1 fun jije nkan tuntun ati iyatọ. ”",7,positive
50,"Indian-Afrika story, new and refressing, unfornutally bad story and acting.",Apákan India apákan Áfíríkà ni ìtàn yìí. Ó tuntun ó sì rẹwà ṣùgbọ́n ìtàn náà àti ṣíṣe rẹ̀ kò dára rárá.,"Itan India-Afrika, tuntun ati onitura, laanu itan buburu ati iṣere.",7,positive
51,Impressive & funny how they portrayed both cultures. I was entertained all through! Clean cut production.,"Ó mó rí wu , ósì pa ni lẹ̀rín  bi wón ti ṣàpèjúwe àṣà méjèjì.  Mo ni idálaráyá jálè ! Erè àgbéléwò to jágeree ní è yìí.",Iwunilori & funny bi wọn ṣe ṣe afihan awọn aṣa mejeeji. Mo ti a ti entertained gbogbo nipasẹ! Mọ ge gbóògì.,7,positive
52,"Nice cross-country movie

The only thing that I don't like about this movie is the way there was little or no interaction with the Nigerian or Indian environment.

Beautiful romantic movie.","Eré àgbéléwò dìdára lórí jákèjádò- orílè-èdè 
 
Oun kan pàtó tí mi ò  féràn nípa fíìmù yìí ni pé ko si ibásepò pẹlu ágbègbè orílè-èdè Nàìjíríà ati india bó ti  wu ó kéré mọ. 
 
Eré àgbéléwò ìfé tó lárindin lè yìí","Nice agbelebu-orilẹ-ede movie

Ohun kan ṣoṣo ti mi ko fẹran si fiimu yii ni ọna ti ko kere tabi ko si ibaraenisepo pẹlu agbegbe Naijiria tabi India.

Lẹwa romantic movie.",7,positive
53,"It's a good movie and everyone need to know what's really going on, what our government is allowing to go on around the world.","Eré àgbéléwò to dára púpò nii , àti pé  gbogbo ènìyàn níi láti mò ní pa àwọn oun  ti àwọn ìjọba ń fi àyè gbà ká ka kiri àgbáyé","O jẹ fiimu ti o dara ati pe gbogbo eniyan nilo lati mọ ohun ti n ṣẹlẹ gaan, kini ijọba wa n gba laaye lati lọ kaakiri agbaye.",7,positive
54,Arie and Chuko Esiri’s film is understated in its attunement to the challenges of trying to escape a stagnant existence,Fíìmù Arie ati Chuko Esiri  yénii nípa àfojúsí àtúnṣe sí àwọn ìdíwó  tó wà  láti ṣe àṣeyọrí.,"
Fiimu Arie ati Chuko Esiri jẹ aibikita ni ibamu si awọn italaya ti igbiyanju lati sa fun aye ti o duro. ",7,positive
55,"I've never before seen a Nollywood film, so I was intrigued as to what director Biyi Bandele's 'Fifty' would be like. As it turns out, it was pretty much an African version of 'Dynasty'!","Mi ò ti wo fíìmù Nollywood ríi , tó fi jẹ́ pé ìgbà àkókó ti ma wò ó , ìwárìrì  nípaeré àgbéléwò láti ọwó  oolùdarí Biyi Bandele tí ń jẹ́ “Fifty"" mú mi káká. Nígbà ti mo wò ó dópin , ko féré yàtò si eré àgbéléwò ti ń je “Dynasty"" tí a wá ṣe ni ìṣe ti àwọn adúláwò.","Mi o tii ri fiimu Nollywood kan ri, bee lo je mi loju nipa bawo ni oludari Biyi Bandele ti ‘Aadọta’ yoo se ri. Bi o ti wa ni jade, o jẹ lẹwa Elo ẹya African version of 'Iba Oba'!",7,positive
56,"Not your everyday dilemma, but as depicted in this lushly detailed and passionately performed melodrama, the mores and traditions of this sequestered, seldom depicted group take on a broader relevance.","Atayán yán eléyìí ṣò wọ́n , ṣùgbọ́n bí  ati ríi nínú eré àgbéléwò aládùn tí a ṣètò  dáradára tí ó si fani móra yìí, àṣà ati ìṣe  àwọn ènìyàn ti a korira yii sèfárahàn ti o ye .","Kii ṣe atayanyan lojoojumọ rẹ, ṣugbọn gẹgẹ bi a ti ṣe afihan ninu alaye ti o ni itara ati itara ti o ṣe melodrama, awọn ilana ati aṣa ti atẹle yii, ẹgbẹ ti a fihan ni alaiwa-afihan gba ibaramu ti o gbooro.",7,positive
